run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,78,72,38,34,37,41,20398,16587,1,0.043478260869565216
13,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,79,71,32,39,43,36,10065,30205,1,0.05
9,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,75,75,35,40,40,35,16140,24353,1,0.05555555555555555
14,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,71,79,34,45,41,30,12211,30194,1,0.058823529411764705
5,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,68,82,24,58,51,17,6317,35663,1,0.043478260869565216
2,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,78,72,33,39,42,36,17704,23496,1,0.045454545454545456
10,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,67,83,31,52,44,23,11184,28193,1,0.02702702702702703
7,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,78,72,28,44,47,31,11982,28717,1,0.05555555555555555
6,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,71,79,36,43,39,32,14601,22825,1,0.041666666666666664
11,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,72,78,34,44,41,31,13510,34144,1,0.043478260869565216
8,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,62,88,37,51,38,24,15355,17175,1,0.022727272727272728
4,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,72,78,36,42,39,33,17094,27856,1,0.05555555555555555
3,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,89,61,33,28,42,47,18334,16645,1,0.03225806451612903
12,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,77,73,24,49,51,26,7202,28566,1,0.043478260869565216
16,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,81,69,23,46,52,29,7455,23890,1,0.02564102564102564
15,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,72,78,31,47,44,28,13018,21821,1,0.045454545454545456
27,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,67,83,27,56,48,19,10484,30636,1,0.043478260869565216
22,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,80,70,30,40,45,35,17388,25401,1,0.05
19,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,82,68,20,48,55,27,7474,22713,1,0.02857142857142857
17,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,74,76,33,43,42,32,9219,31781,1,0.047619047619047616
18,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,74,76,39,37,36,38,18767,24800,1,0.05263157894736842
20,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,77,73,34,39,41,36,14831,25769,1,0.05263157894736842
23,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,74,76,41,35,34,40,22843,18042,1,0.043478260869565216
29,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,68,82,32,50,43,25,12083,25336,1,0.043478260869565216
24,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,77,73,28,45,47,30,11938,26362,1,0.045454545454545456
21,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,62,88,30,58,45,17,19257,31632,1,0.05263157894736842
25,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,74,76,34,42,41,33,14785,21629,1,0.02857142857142857
26,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,84,66,29,37,46,38,13661,21882,1,0.05263157894736842
28,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,85,65,30,35,45,40,13153,23872,1,0.045454545454545456
30,small-world,contradictory_std-max_prd-min,150,50,200,399,150,75,75,68,82,30,52,45,23,11154,25683,1,0.03125
