run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,paranoid_max,300,3,200,399,300,291,9,22,278,2,276,7,15,0,192338,,1
10,small-world,paranoid_max,300,3,200,399,300,291,9,156,144,2,142,7,149,13148,95008,,1
8,small-world,paranoid_max,300,3,200,399,300,291,9,19,281,0,281,9,10,0,205843,,1
7,small-world,paranoid_max,300,3,200,399,300,291,9,16,284,0,284,9,7,0,190546,,1
13,small-world,paranoid_max,300,3,200,399,300,291,9,28,272,2,270,7,21,2919,209718,,1
11,small-world,paranoid_max,300,3,200,399,300,291,9,14,286,2,284,7,7,0,231046,,1
4,small-world,paranoid_max,300,3,200,399,300,291,9,23,277,0,277,9,14,0,188909,,1
3,small-world,paranoid_max,300,3,200,399,300,291,9,20,280,1,279,8,12,0,188386,,1
5,small-world,paranoid_max,300,3,200,399,300,291,9,33,267,2,265,7,26,36638,237062,,1
9,small-world,paranoid_max,300,3,200,399,300,291,9,15,285,0,285,9,6,0,252452,,1
6,small-world,paranoid_max,300,3,200,399,300,291,9,14,286,0,286,9,5,3195,208323,,1
12,small-world,paranoid_max,300,3,200,399,300,291,9,21,279,0,279,9,12,0,208858,,1
2,small-world,paranoid_max,300,3,200,399,300,291,9,13,287,0,287,9,4,0,212075,,1
14,small-world,paranoid_max,300,3,200,399,300,291,9,10,290,0,290,9,1,0,196645,,1
17,small-world,paranoid_max,300,3,200,399,300,291,9,14,286,0,286,9,5,0,201726,,1
15,small-world,paranoid_max,300,3,200,399,300,291,9,30,270,2,268,7,23,0,162463,,1
19,small-world,paranoid_max,300,3,200,399,300,291,9,11,289,0,289,9,2,0,204676,,1
16,small-world,paranoid_max,300,3,200,399,300,291,9,13,287,0,287,9,4,0,230338,,1
21,small-world,paranoid_max,300,3,200,399,300,291,9,10,290,0,290,9,1,0,210841,,1
24,small-world,paranoid_max,300,3,200,399,300,291,9,14,286,1,285,8,6,0,184907,,1
20,small-world,paranoid_max,300,3,200,399,300,291,9,12,288,0,288,9,3,0,219508,,1
18,small-world,paranoid_max,300,3,200,399,300,291,9,9,291,1,290,8,1,0,237419,,1
22,small-world,paranoid_max,300,3,200,399,300,291,9,15,285,0,285,9,6,0,167177,,1
25,small-world,paranoid_max,300,3,200,399,300,291,9,14,286,1,285,8,6,0,183618,,1
23,small-world,paranoid_max,300,3,200,399,300,291,9,23,277,2,275,7,16,3789,152867,,1
26,small-world,paranoid_max,300,3,200,399,300,291,9,23,277,1,276,8,15,13538,251620,,1
27,small-world,paranoid_max,300,3,200,399,300,291,9,11,289,2,287,7,4,1479,210845,,1
28,small-world,paranoid_max,300,3,200,399,300,291,9,18,282,0,282,9,9,0,241010,,1
29,small-world,paranoid_max,300,3,200,399,300,291,9,11,289,0,289,9,2,0,184854,,1
30,small-world,paranoid_max,300,3,200,399,300,291,9,14,286,0,286,9,5,0,197958,,1
