run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,34,116,3,113,15,19,586,34178,1,0.02857142857142857
13,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,44,106,4,102,14,30,4230,42578,1,0.0625
12,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,34,116,4,112,14,20,9232,42882,1,0.07142857142857142
5,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,34,116,4,112,14,20,9030,47045,1,0.06666666666666667
7,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,24,126,5,121,13,11,1318,35752,1,0.037037037037037035
10,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,25,125,3,122,15,10,295,47495,1,0.05
4,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,36,114,5,109,13,23,2941,28952,1,0.027777777777777776
11,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,20,130,3,127,15,5,0,38816,1,0.03571428571428571
9,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,37,113,3,110,15,22,1161,38454,1,0.045454545454545456
6,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,46,104,6,98,12,34,1471,41251,1,0.03571428571428571
8,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,20,130,3,127,15,5,295,41150,1,0.041666666666666664
2,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,25,125,8,117,10,15,4003,40457,1,0.045454545454545456
3,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,23,127,4,123,14,9,1598,50175,1,0.05263157894736842
14,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,27,123,4,119,14,13,1969,39915,1,0.03333333333333333
15,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,45,105,4,101,14,31,1875,31032,1,0.02857142857142857
26,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,50,100,8,92,10,40,8113,28640,1,0.038461538461538464
19,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,17,133,6,127,12,5,0,47043,1,0.058823529411764705
21,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,20,130,2,128,16,4,295,36656,1,0.041666666666666664
16,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,33,117,2,115,16,17,0,38133,1,0.05
20,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,29,121,5,116,13,16,1472,27809,1,0.023255813953488372
18,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,77,73,9,64,9,68,15942,26556,1,0.0625
17,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,36,114,2,112,16,20,3990,39584,1,0.03333333333333333
22,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,59,91,7,84,11,48,11846,26828,1,0.045454545454545456
25,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,60,90,5,85,13,47,1740,26276,1,0.03571428571428571
24,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,42,108,4,104,14,28,1451,30778,1,0.030303030303030304
23,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,32,118,2,116,16,16,6865,37246,1,0.05263157894736842
27,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,37,113,6,107,12,25,1892,34962,1,0.041666666666666664
28,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,18,132,1,131,17,1,0,45282,1,0.04
29,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,28,122,3,119,15,13,0,45099,1,0.043478260869565216
30,small-world,contradictory_std-max_prd-min,150,12,200,399,150,132,18,25,125,4,121,14,11,295,43967,1,0.058823529411764705
