run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,linear,paranoid_random,300,50,200,799,300,150,150,149,151,75,76,75,74,4455100,4266746,,238
6,linear,paranoid_random,300,50,200,599,300,150,150,146,154,75,79,75,71,3855138,3353328,,12
2,linear,paranoid_random,300,50,200,599,300,150,150,152,148,75,73,75,77,4450670,3346204,,9
13,linear,paranoid_random,300,50,200,599,300,150,150,159,141,75,66,75,84,3971900,3367424,,5
5,linear,paranoid_random,300,50,200,799,300,150,150,163,137,75,62,75,88,4455100,4433064,,283
12,linear,paranoid_random,300,50,200,599,300,150,150,150,150,75,75,75,75,4453622,3442256,,55
7,linear,paranoid_random,300,50,200,799,300,150,150,155,145,75,70,75,80,4454208,4206026,,226
11,linear,paranoid_random,300,50,200,799,300,150,150,163,137,75,62,75,88,4455100,4452438,,295
3,linear,paranoid_random,300,50,200,599,300,150,150,156,144,75,69,75,81,4455100,3631276,,88
4,linear,paranoid_random,300,50,200,799,300,150,150,147,153,75,78,75,72,4454802,4294632,,209
10,linear,paranoid_random,300,50,200,799,300,150,150,142,158,75,83,75,67,4452490,4452772,,291
9,linear,paranoid_random,300,50,200,799,300,150,150,150,150,75,75,75,75,4453630,4159072,,222
8,linear,paranoid_random,300,50,200,799,300,150,150,148,152,75,77,75,73,4453056,4382720,,262
16,linear,paranoid_random,300,50,200,799,300,150,150,150,150,75,75,75,75,4453332,4294014,,210
17,linear,paranoid_random,300,50,200,599,300,150,150,154,146,75,71,75,79,4451562,3889844,,170
19,linear,paranoid_random,300,50,200,599,300,150,150,144,156,75,81,75,69,4455100,3506914,,66
14,linear,paranoid_random,300,50,200,799,300,150,150,156,144,75,69,75,81,4453920,4441892,,285
20,linear,paranoid_random,300,50,200,599,300,150,150,137,163,75,88,75,62,4454208,3692156,,63
15,linear,paranoid_random,300,50,200,599,300,150,150,143,157,75,82,75,68,4455100,3229266,,26
22,linear,paranoid_random,300,50,200,599,300,150,150,140,160,75,85,75,65,4455100,3463628,,108
25,linear,paranoid_random,300,50,200,599,300,150,150,144,156,75,81,75,69,4444746,3614164,,79
24,linear,paranoid_random,300,50,200,599,300,150,150,161,139,75,64,75,86,4455100,3783030,,131
18,linear,paranoid_random,300,50,200,799,300,150,150,149,151,75,76,75,74,4442012,4361650,,243
23,linear,paranoid_random,300,50,200,799,300,150,150,159,141,75,66,75,84,4448060,4006112,,199
21,linear,paranoid_random,300,50,200,799,300,150,150,165,135,75,60,75,90,4450410,4455100,,297
27,linear,paranoid_random,300,50,200,599,300,150,150,157,143,75,68,75,82,4454802,3709606,,128
26,linear,paranoid_random,300,50,200,799,300,150,150,139,161,75,86,75,64,4455100,4340236,,239
28,linear,paranoid_random,300,50,200,799,300,150,150,147,153,75,78,75,72,4446302,4384208,,245
29,linear,paranoid_random,300,50,200,799,300,150,150,155,145,75,70,75,80,4454802,4267690,,217
30,linear,paranoid_random,300,50,200,799,300,150,150,144,156,75,81,75,69,4455100,4341382,,222
