run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,linear,standard_max,50,12,200,399,50,44,6,31,19,3,16,3,28,15320,17680,49,
13,linear,standard_max,50,12,200,399,50,44,6,31,19,3,16,3,28,17938,18194,49,
10,linear,standard_max,50,12,200,399,50,44,6,33,17,3,14,3,30,19600,19552,49,
14,linear,standard_max,50,12,200,399,50,44,6,22,28,3,25,3,19,16378,16872,49,
6,linear,standard_max,50,12,200,399,50,44,6,33,17,3,14,3,30,19552,19320,49,
16,linear,standard_max,50,12,200,399,50,44,6,24,26,3,23,3,21,18506,19320,49,
5,linear,standard_max,50,12,200,399,50,44,6,28,22,3,19,3,25,13840,14450,49,
12,linear,standard_max,50,12,200,399,50,44,6,26,24,3,21,3,23,16648,18920,49,
8,linear,standard_max,50,12,200,399,50,44,6,30,20,3,17,3,27,16756,18040,49,
11,linear,standard_max,50,12,200,399,50,44,6,33,17,3,14,3,30,10290,15110,49,
7,linear,standard_max,50,12,200,399,50,44,6,19,31,3,28,3,16,17200,18040,49,
3,linear,standard_max,50,12,200,399,50,44,6,30,20,3,17,3,27,15320,17680,49,
2,linear,standard_max,50,12,200,399,50,44,6,23,27,3,24,3,20,14182,18368,49,
9,linear,standard_max,50,12,200,399,50,44,6,28,22,3,19,3,25,7308,15470,49,
4,linear,standard_max,50,12,200,399,50,44,6,10,40,3,37,3,7,19458,18920,49,
18,linear,standard_max,50,12,200,399,50,44,6,18,32,3,29,3,15,19458,19420,49,
15,linear,standard_max,50,12,200,399,50,44,6,28,22,3,19,3,25,18920,18368,49,
17,linear,standard_max,50,12,200,399,50,44,6,37,13,3,10,3,34,17470,19140,49,
28,linear,standard_max,50,12,200,399,50,44,6,25,25,3,22,3,22,14480,19552,49,
20,linear,standard_max,50,12,200,399,50,44,6,33,17,3,14,3,30,14026,18924,49,
25,linear,standard_max,50,12,200,399,50,44,6,38,12,3,9,3,35,6306,8008,49,
19,linear,standard_max,50,12,200,399,50,44,6,20,30,3,27,3,17,19458,18672,49,
23,linear,standard_max,50,12,200,399,50,44,6,30,20,3,17,3,27,15428,15960,49,
27,linear,standard_max,50,12,200,399,50,44,6,36,14,3,11,3,33,15888,16872,49,
21,linear,standard_max,50,12,200,399,50,44,6,16,34,3,31,3,13,10058,18064,49,
22,linear,standard_max,50,12,200,399,50,44,6,28,22,3,19,3,25,17680,19600,49,
30,linear,standard_max,50,12,200,399,50,44,6,28,22,3,19,3,25,18710,19552,49,
29,linear,standard_max,50,12,200,399,50,44,6,16,34,3,31,3,13,19458,19140,49,
24,linear,standard_max,50,12,200,399,50,44,6,19,31,3,28,3,16,18088,19552,49,
26,linear,standard_max,50,12,200,399,50,44,6,19,31,3,28,3,16,18088,19162,49,
