run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,linear,paranoid_random,150,50,200,399,150,75,75,80,70,37,33,38,42,551300,438314,,38
13,linear,paranoid_random,150,50,200,399,150,75,75,72,78,38,40,37,35,550442,475760,,56
8,linear,paranoid_random,150,50,200,399,150,75,75,72,78,38,40,37,35,550442,436726,,32
14,linear,paranoid_random,150,50,200,399,150,75,75,78,72,37,35,38,40,551152,505622,,76
6,linear,paranoid_random,150,50,200,399,150,75,75,70,80,37,43,38,32,549292,462888,,43
11,linear,paranoid_random,150,50,200,399,150,75,75,70,80,38,42,37,33,335162,349404,,3
3,linear,paranoid_random,150,50,200,399,150,75,75,79,71,38,33,37,42,551300,487682,,80
2,linear,paranoid_random,150,50,200,399,150,75,75,62,88,37,51,38,24,551300,416402,,14
10,linear,paranoid_random,150,50,200,599,150,75,75,71,79,37,42,38,33,549762,551300,,145
12,linear,paranoid_random,150,50,200,599,150,75,75,79,71,37,34,38,41,551152,545680,,127
9,linear,paranoid_random,150,50,200,599,150,75,75,69,81,38,43,37,32,548390,543880,,129
7,linear,paranoid_random,150,50,200,599,150,75,75,74,76,38,38,37,37,551300,544980,,136
16,linear,paranoid_random,150,50,200,399,150,75,75,67,83,37,46,38,29,551300,403790,,34
5,linear,paranoid_random,150,50,200,599,150,75,75,69,81,37,44,38,31,550420,547480,,128
21,linear,paranoid_random,150,50,200,399,150,75,75,67,83,38,45,37,30,550138,423306,,28
4,linear,paranoid_random,150,50,200,599,150,75,75,73,77,38,39,37,36,549726,494842,,89
18,linear,paranoid_random,150,50,200,399,150,75,75,81,69,38,31,37,44,551152,468304,,42
19,linear,paranoid_random,150,50,200,399,150,75,75,77,73,37,36,38,39,551152,468846,,51
25,linear,paranoid_random,150,50,200,399,150,75,75,86,64,38,26,37,49,551300,419406,,73
20,linear,paranoid_random,150,50,200,399,150,75,75,82,68,38,30,37,45,550420,498534,,68
23,linear,paranoid_random,150,50,200,399,150,75,75,83,67,37,30,38,45,549578,408222,,8
17,linear,paranoid_random,150,50,200,599,150,75,75,75,75,37,38,38,37,551300,531360,,118
15,linear,paranoid_random,150,50,200,599,150,75,75,74,76,37,39,38,36,549840,551300,,149
24,linear,paranoid_random,150,50,200,399,150,75,75,77,73,37,36,38,39,550580,429288,,28
27,linear,paranoid_random,150,50,200,599,150,75,75,75,75,37,38,38,37,549840,546748,,128
22,linear,paranoid_random,150,50,200,599,150,75,75,81,69,37,32,38,43,550432,520542,,107
29,linear,paranoid_random,150,50,200,399,150,75,75,72,78,38,40,37,35,551152,499796,,78
26,linear,paranoid_random,150,50,200,599,150,75,75,73,77,37,40,38,35,550572,542328,,123
30,linear,paranoid_random,150,50,200,399,150,75,75,81,69,37,32,38,43,551152,417844,,12
28,linear,paranoid_random,150,50,200,599,150,75,75,78,72,37,35,38,40,550862,516556,,101
