run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,linear,paranoid_random,50,12,200,399,50,44,6,15,35,3,32,3,12,18920,19600,,43
13,linear,paranoid_random,50,12,200,399,50,44,6,22,28,3,25,3,19,11670,18212,,13
14,linear,paranoid_random,50,12,200,399,50,44,6,23,27,3,24,3,20,18368,19600,,29
15,linear,paranoid_random,50,12,200,399,50,44,6,15,35,3,32,3,12,8178,18642,,5
7,linear,paranoid_random,50,12,200,399,50,44,6,25,25,3,22,3,22,19600,19600,,22
3,linear,paranoid_random,50,12,200,399,50,44,6,20,30,3,27,3,17,18662,19600,,48
5,linear,paranoid_random,50,12,200,399,50,44,6,33,17,3,14,3,30,16944,19116,,30
2,linear,paranoid_random,50,12,200,399,50,44,6,15,35,3,32,3,12,18662,19600,,35
10,linear,paranoid_random,50,12,200,399,50,44,6,29,21,3,18,3,26,17290,19600,,35
9,linear,paranoid_random,50,12,200,399,50,44,6,19,31,3,28,3,16,1746,9080,,18
6,linear,paranoid_random,50,12,200,399,50,44,6,34,16,3,13,3,31,18040,19600,,44
11,linear,paranoid_random,50,12,200,399,50,44,6,16,34,3,31,3,13,14960,19600,,39
8,linear,paranoid_random,50,12,200,399,50,44,6,16,34,3,31,3,13,18662,19600,,49
4,linear,paranoid_random,50,12,200,399,50,44,6,20,30,3,27,3,17,18368,19272,,41
12,linear,paranoid_random,50,12,200,399,50,44,6,8,42,3,39,3,5,18964,19306,,42
16,linear,paranoid_random,50,12,200,399,50,44,6,17,33,3,30,3,14,19320,19600,,44
28,linear,paranoid_random,50,12,200,399,50,44,6,17,33,3,30,3,14,19140,19600,,28
22,linear,paranoid_random,50,12,200,399,50,44,6,43,7,3,4,3,40,1090,1198,,2
17,linear,paranoid_random,50,12,200,399,50,44,6,31,19,3,16,3,28,15344,18908,,13
20,linear,paranoid_random,50,12,200,399,50,44,6,16,34,3,31,3,13,16872,19600,,21
21,linear,paranoid_random,50,12,200,399,50,44,6,33,17,3,14,3,30,19600,19600,,20
18,linear,paranoid_random,50,12,200,399,50,44,6,23,27,3,24,3,20,18040,19600,,43
25,linear,paranoid_random,50,12,200,399,50,44,6,31,19,3,16,3,28,19458,19600,,21
19,linear,paranoid_random,50,12,200,399,50,44,6,20,30,3,27,3,17,15470,19600,,44
24,linear,paranoid_random,50,12,200,399,50,44,6,10,40,3,37,3,7,15416,19600,,22
29,linear,paranoid_random,50,12,200,399,50,44,6,23,27,3,24,3,20,19458,19600,,12
26,linear,paranoid_random,50,12,200,399,50,44,6,25,25,3,22,3,22,19140,19600,,8
27,linear,paranoid_random,50,12,200,399,50,44,6,21,29,3,26,3,18,19600,19600,,22
23,linear,paranoid_random,50,12,200,399,50,44,6,23,27,3,24,3,20,18662,19600,,18
30,linear,paranoid_random,50,12,200,399,50,44,6,16,34,3,31,3,13,892,14440,,0
